"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2018,31810774,106936200,1,16-NOV-18,1,"N",16,5,20,"M",1,1,"R","","",20,0
2018,31815468,106936210,1,21-NOV-18,2,"N",21,5,14,"M",1,1,"R","R","",14,0
2018,31815479,106933174,1,21-DEC-18,1,"N",39,5,59,"M",1,2,"R","","",59,0
2018,31810900,106929131,2,04-DEC-18,2,"N",44,5,15,"M",1,1,"N","R","",15,0
2018,31810902,106936444,2,15-SEP-18,1,"N",51,5,34,"F",1,2,"R","","",34,0
2018,31810925,106933348,1,19-DEC-18,2,"N",16,5,24,"M",1,2,"N","","",24,0
2018,31815555,106929170,1,21-DEC-18,1,"N",16,5,32,"M",1,1,"R","","",32,0
2018,31818786,106933361,1,23-DEC-18,2,"N",16,5,33,"F",1,2,"N","","",33,0
2018,31810930,106936512,1,26-DEC-18,2,"N",16,5,20,"M",2,2,"R","","",20,0
2018,31810937,106936529,3,31-DEC-18,2,"N",51,5,19,"M",1,2,"N","","",19,0
2018,31810969,106936593,1,15-OCT-18,2,"N",23,5,30,"F",1,2,"U","","",30,0
2018,30162453,101507052,1,30-AUG-18,1,"N",51,5,56,"M",1,2,"R","","",56,0
2018,30172449,101507094,1,09-SEP-18,1,"N",35,5,35,"M",1,1,"U","","",35,0
2018,30162467,101507120,1,14-SEP-18,1,"N",36,5,49,"M",1,1,"R","","",49,0
2018,30172474,101507151,1,20-SEP-18,2,"N",39,5,72,"M",1,2,"N","","",72,0
2018,30172483,101507173,1,25-SEP-18,2,"N",23,5,19,"M",1,2,"R","","",19,0
2018,30162508,101507252,2,17-SEP-18,1,"N",51,5,19,"F",1,2,"N","","",19,0
2018,30172509,101507252,1,17-SEP-18,1,"N",51,5,59,"M",1,2,"R","","",59,0
2018,30162531,101502080,1,10-AUG-18,3,"N",51,5,16,"F",1,2,"R","R","",16,0
2018,30162532,101507346,1,12-AUG-18,2,"N",5,5,19,"F",1,2,"R","","",19,0
2018,30167480,101507362,1,23-SEP-18,2,"N",51,5,38,"M",1,2,"R","","",38,0
2018,30172566,101507411,2,29-AUG-18,3,"N",35,5,26,"F",3,2,"R","","",26,0
2018,30162551,101507411,3,29-AUG-18,3,"N",35,5,20,"M",1,1,"N","","",20,0
2018,30172569,101507411,4,29-AUG-18,3,"N",35,5,18,"F",1,2,"N","","",18,0
2018,30167501,101507411,1,29-AUG-18,3,"N",35,5,23,"F",1,1,"R","","",23,0
2018,30172583,101507420,5,17-SEP-18,2,"N",35,5,19,"M",1,1,"R","","",19,0
2018,30167509,101507420,4,17-SEP-18,2,"N",35,5,14,"F",1,1,"R","H","",14,0
2018,30162556,101507420,2,17-SEP-18,2,"N",35,5,26,"M",1,1,"R","","",26,0
2018,30162558,101507420,3,17-SEP-18,2,"N",35,5,17,"F",1,1,"R","H","",17,0
2018,30167507,101507420,1,17-SEP-18,2,"N",35,5,19,"F",1,1,"R","","",19,0
2018,30162577,101507479,1,18-JUL-18,1,"N",16,5,39,"M",1,2,"R","","",39,0
2018,30172622,101507543,1,03-AUG-18,2,"N",51,5,17,"F",1,2,"","R","",17,0
2018,30172670,101502300,1,10-SEP-18,1,"N",51,5,37,"M",1,2,"N","","",37,0
2018,30172674,101502300,2,10-SEP-18,1,"N",51,5,25,"M",1,2,"R","","",25,0
2018,30167580,101512476,1,11-AUG-18,2,"N",51,5,46,"M",1,1,"N","","",46,0
2018,30172702,101512527,1,24-AUG-18,2,"N",51,5,32,"F",1,2,"R","","",32,0
