"DATA_YEAR","OFFENSE_ID","INCIDENT_ID","OFFENSE_TYPE_ID","ATTEMPT_COMPLETE_FLAG","LOCATION_ID","NUM_PREMISES_ENTERED","METHOD_ENTRY_CODE"
2018,136615694,111709872,16,"C",20,,""
2018,136623585,111721420,23,"C",7,,""
2018,136615850,111718291,23,"C",12,,""
2018,143826326,118621227,56,"C",20,,""
2018,143826500,118621378,47,"C",41,,""
2018,143821558,118616420,36,"C",20,,""
2018,143826534,118616468,5,"C",20,,""
2018,143831414,118621432,11,"C",20,,""
2018,143826614,118621485,44,"C",13,,""
2018,136627261,111721275,2,"C",24,,""
2018,136615847,111709986,5,"C",20,,""
2018,136623956,111721646,21,"C",20,,""
2018,137808552,112764967,2,"C",20,,""
2018,136623667,111721476,46,"C",20,,""
2018,136631355,111710454,47,"C",20,,""
2018,137800826,112765014,45,"C",20,,""
2018,137811393,112768813,40,"C",13,,""
2018,137811396,112768813,39,"C",13,,""
2018,137800831,112768813,5,"C",13,,""
2018,136632190,111722058,21,"C",24,,""
2018,136624598,111722171,2,"C",2,,""
2018,136628472,111726496,29,"C",20,,""
2018,136632499,111726496,27,"C",20,,""
2018,136628516,111722282,51,"C",40,,""
2018,123622877,100181180,5,"C",14,,""
2018,123622896,100183904,41,"C",20,,""
2018,123619659,100181207,44,"C",20,,""
2018,123622926,100181225,45,"C",20,,""
2018,123620683,100184962,51,"C",13,,""
2018,123620718,100184996,45,"C",20,,""
2018,123629402,100190271,11,"C",7,,""
2018,123629838,100190649,36,"C",38,,""
2018,123629715,100194440,47,"C",20,,""
2018,123634346,100190585,51,"C",20,,""
2018,123634356,100194506,51,"C",20,,""
2018,123629796,100190617,41,"C",2,,""
2018,123629804,100194550,45,"C",18,,""
2018,123630046,100194810,49,"C",20,,"N"
2018,123629984,100190753,51,"C",18,,""
2018,123630041,100194804,16,"C",13,,""
2018,123634679,100194822,45,"C",20,,""
2018,123634715,100194855,47,"C",20,,""
2018,123634741,100194879,16,"C",7,,""
2018,123634743,100194879,35,"C",7,,""
2018,123630120,100194912,23,"C",7,,""
2018,123635110,100195198,16,"C",13,,""
2018,123630361,100195228,14,"C",13,,""
2018,123630494,100195357,35,"C",13,,""
2018,123631135,100196064,51,"C",13,,""
2018,123631148,100196080,35,"C",13,,""
2018,123636141,100196080,16,"C",13,,""
2018,123636162,100196093,51,"C",20,,""
2018,123636163,100196093,35,"C",20,,""
2018,123636182,100196107,28,"C",13,,""
2018,123636210,100191818,47,"C",24,,""
2018,123634562,100194708,23,"C",8,,""
2018,123633756,100190251,2,"C",20,,""
2018,123634276,100194421,5,"C",18,,""
2018,123634306,100190564,47,"C",43,,""
2018,123634213,100194370,49,"A",20,,"N"
2018,123634235,100190539,44,"C",20,,""
2018,123629827,100194574,49,"C",20,,"F"
2018,123629738,100194465,23,"C",8,,""
2018,123629757,100194493,46,"C",2,,""
2018,123629797,100190619,5,"C",15,,""
2018,123634436,100194574,5,"C",20,,""
2018,123629985,100190755,47,"C",20,,""
2018,123634582,100194731,5,"C",20,,""
2018,123634598,100194746,51,"C",20,,""
2018,123630007,100194765,5,"C",41,,""
2018,123634623,100194770,51,"C",20,,""
2018,123634648,100190791,44,"C",21,,""
2018,123634653,100190794,51,"C",20,,""
2018,123634661,100190800,23,"C",8,,""
2018,123630060,100194826,17,"A",20,,""
2018,123634700,100190821,21,"C",20,,""
2018,123630084,100194860,49,"C",20,,"N"
2018,123630091,100190835,36,"C",20,,""
2018,123630102,100194884,16,"C",13,,""
2018,123630109,100194892,47,"C",20,,""
2018,123634763,100194897,23,"C",8,,""
2018,123635294,100191183,14,"C",18,,""
2018,123636138,100196073,14,"C",13,,""
2018,123631151,100196085,7,"C",13,,""
2018,123631171,100196105,5,"C",13,,""
2018,123636185,100191806,11,"C",21,,""
2018,126777387,102920941,5,"C",13,,""
2018,126767446,102933046,47,"C",20,,""
2018,126773170,102937338,51,"C",15,,""
2018,126777427,102937370,16,"C",7,,""
2018,126773215,102933092,23,"C",7,,""
2018,126767506,102920994,2,"C",20,,""
2018,126773233,102933119,45,"C",7,,""
2018,126773239,102933124,2,"C",25,,""
2018,126777502,102921017,49,"C",5,,"F"
2018,126767535,102933144,45,"C",20,,""
2018,126767539,102937419,45,"C",18,,""
2018,126773284,102933178,5,"C",6,,""
2018,126773283,102933178,14,"C",6,,""
2018,126773287,102921056,27,"C",20,,""
2018,126773292,102937442,45,"C",20,,""
2018,126773302,102933192,51,"C",1,,""
2018,126777583,102933208,35,"C",18,,""
2018,126773315,102933208,16,"C",18,,""
2018,126773340,102941091,51,"C",20,,""
2018,126777663,102933266,16,"C",13,,""
2018,126767691,102941151,44,"C",3,,""
2018,126773394,102941151,39,"C",3,,""
2018,126773420,102933340,2,"C",7,,""
2018,126773418,102933340,11,"C",7,,""
2018,126777744,102933343,23,"C",12,,""
2018,126777771,102941193,45,"C",7,,""
2018,126773463,102941201,2,"C",20,,""
2018,126767766,102937597,45,"C",7,,""
2018,126767773,102937602,47,"C",24,,""
2018,126767774,102937602,2,"C",24,,""
2018,126773496,102937612,2,"C",7,,""
2018,126773494,102937612,11,"C",7,,""
2018,126767791,102933407,5,"C",20,,""
2018,126777834,102933419,35,"C",13,,""
2018,126773502,102933419,16,"C",13,,""
2018,126767809,102937635,14,"C",20,,""
2018,126767820,102941246,11,"C",25,,""
2018,126767836,102933458,41,"C",24,,""
2018,126777891,102941267,23,"C",7,,""
2018,126767846,102937682,23,"C",7,,""
2018,126773577,102933472,45,"C",23,,""
2018,123637624,100197761,41,"C",8,,""
2018,123642737,100197662,44,"C",41,,""
2018,123642765,100202681,51,"C",20,,""
2018,123647088,100206146,16,"A",13,,""
2018,123638233,100202837,21,"C",20,,""
2018,123643109,100203017,18,"C",21,,""
2018,123638405,100198321,46,"C",25,,""
2018,123643091,100203003,51,"C",20,,""
2018,123638527,100203072,14,"C",18,,""
2018,123638570,100203105,5,"C",20,,""
2018,123638583,100203114,5,"C",25,,""
2018,123643253,100203130,45,"C",20,,""
2018,123638599,100198474,20,"C",20,,""
2018,123643297,100203171,45,"C",20,,""
2018,123638742,100198552,51,"C",20,,""
2018,123638719,100203240,36,"C",20,,""
2018,123638727,100198544,16,"C",18,,""
2018,123652014,100206127,44,"C",20,,""
2018,123647068,100201640,16,"A",20,,""
2018,123647067,100201640,35,"A",20,,""
2018,123652058,100206180,23,"C",8,,""
2018,123647335,100206327,7,"C",7,,""
2018,123652269,100206408,14,"C",13,,""
2018,123652308,100206467,16,"C",25,,""
2018,123647565,100206537,5,"C",13,,""
2018,123647575,100201954,23,"C",43,,""
2018,123652352,100206510,5,"C",25,,""
2018,123652351,100206510,51,"C",25,,""
2018,123652366,100201935,5,"C",18,,""
2018,123652396,100201958,45,"C",25,,""
2018,123647589,100201965,45,"C",20,,""
2018,123652419,100201981,14,"A",20,,""
2018,123652440,100202000,5,"C",20,,""
2018,123647647,100206610,45,"C",13,,""
2018,123647719,100206668,2,"C",20,,""
2018,123652464,100206626,20,"A",20,,""
2018,123647693,100206645,5,"C",24,,""
2018,123647753,100202076,41,"C",7,,""
2018,123647738,100206684,2,"C",13,,""
2018,123647759,100202084,49,"A",20,,"N"
2018,123652548,100206721,51,"C",41,,""
2018,123647792,100206728,5,"C",13,,""
2018,123647798,100202119,2,"C",21,,""
2018,123647807,100206734,39,"C",13,,""
2018,123647810,100206742,51,"C",38,,""
2018,123647809,100206742,27,"C",38,,""
2018,123647834,100206757,5,"C",20,,""
2018,123648065,100206947,45,"C",7,,""
2018,123648237,100207070,14,"C",13,,""
2018,123648256,100202399,23,"C",8,,""
2018,123652985,100207112,51,"C",41,,""
2018,123653000,100207127,23,"C",8,,""
2018,123653015,100202444,51,"C",20,,""
2018,123653026,100207158,44,"C",20,,""
2018,123648350,100202454,5,"C",20,,""
2018,123653042,100202464,2,"C",24,,""
2018,123653043,100202464,46,"C",24,,""
2018,123648528,100202561,11,"C",8,,""
2018,123648538,100207321,11,"C",8,,""
2018,123653231,100202581,5,"C",18,,""
2018,123653230,100202581,7,"C",18,,""
2018,123648588,100207363,23,"C",8,,""
2018,123653291,100202626,5,"C",41,,""
2018,123653328,100207667,47,"C",20,,""
2018,123648705,100207441,51,"C",20,,""
2018,123653365,100207458,51,"C",20,,""
2018,123648790,100207509,47,"C",20,,""
2018,123653416,100207519,5,"C",20,,""
2018,123648858,100207564,44,"C",13,,""
2018,123653472,100207587,51,"C",20,,""
2018,123648901,100207610,51,"C",21,,""
2018,123648909,100207613,51,"C",20,,""
2018,123648917,100207622,16,"C",13,,""
