"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2018,5,106346081,16.7,1,9651106
2018,5,106341042,1,11,9651164
2018,5,106341482,1,11,9651291
2018,5,105136303,15.2,1,9365141
2018,5,105163607,1,11,9367964
2018,5,105163644,1,3,9375533
2018,5,105127559,7,1,9362442
2018,3,105127559,2,1,9362443
2018,5,105127564,0.001,1,9364378
2018,12,105162204,1,11,9367983
2018,15,105162204,2,9,9367984
2018,12,105163818,1,1,9375572
2018,5,105137646,5.5,1,9365497
2018,5,105140634,1,11,9363453
2018,8,105140634,1,11,9365440
2018,13,105164479,37.4,1,9375718
2018,13,105133274,100,9,9364877
2018,5,105137851,20.55,4,9363540
2018,5,105133274,2,1,9364876
2018,5,105133372,0.05,3,9363020
2018,12,105133372,0.001,1,9363019
2018,5,105133547,2,1,9363054
2018,5,105138597,4.6,1,9364972
2018,9,105138597,0.2,1,9364973
2018,12,105169349,1,11,9368363
2018,5,105165008,1,1,9368224
2018,5,105136472,1,3,9365186
2018,5,105139935,6.9,1,9363260
2018,5,105165008,1,9,9375791
2018,5,105140928,1,3,9365537
2018,5,105137878,1,1,9363550
2018,5,105138168,1,1,9365596
2018,5,105141286,1.1,3,9363610
2018,5,105138252,8.8,1,9365617
2018,12,105138297,1,11,9365631
2018,5,105138313,0.01,1,9363626
2018,12,105141333,0.5,3,9363637
2018,5,105138373,1,3,9365653
2018,12,105141385,0.1,1,9363650
2018,5,105138455,0.08,3,9363652
2018,5,105164702,1,1,9375751
2018,2,105165008,1,1,9375792
2018,12,105168659,0.1,1,9375803
2018,12,105165221,0.5,3,9368253
2018,5,105165449,0.9,3,9375875
2018,5,105165756,1,3,9368375
2018,13,105165836,1,1,9375948
2018,1,105165836,2.5,1,9368386
2018,13,105165934,0.101,1,9368402
2018,13,105165948,8,1,9375962
2018,1,105165948,0.1,1,9375961
2018,16,105165948,2,9,9375963
2018,1,105169676,0.001,1,9368416
2018,13,105169676,0.02,1,9368417
2018,13,105166019,0.025,3,9375974
2018,5,105166157,1,1,9368446
2018,12,105166184,1,1,9376014
2018,5,105166831,3,1,9376119
2018,12,105166862,1,8,9376133
2018,5,105170524,1,1,9376142
2018,17,105170524,1,1,9376143
2018,5,105166875,1,11,9368584
2018,5,105166903,1,1,9376145
2018,12,105170628,1,1,9368607
2018,5,105170694,1,3,9376173
2018,16,105170694,1,11,9376174
2018,5,105127628,1,11,9362462
2018,12,105141105,1,1,9363584
2018,5,105141290,5.32,1,9363611
2018,17,105158575,1,3,9375517
2018,5,105131276,1,1,9362471
2018,5,105131336,1,1,9362473
2018,5,105131607,0.1,1,9362492
2018,5,105163680,8,1,9367978
2018,2,105162249,1,1,9375553
2018,5,105163807,1,1,9375568
2018,5,105162316,1,3,9375575
2018,5,105162329,1,3,9368008
2018,5,105140441,1,11,9363406
2018,12,105140441,1,11,9363407
2018,5,105138364,0.5,3,9363638
2018,12,105133395,1,1,9363025
2018,5,105134373,1,1,9364857
2018,8,105164348,11,9,9375690
2018,5,105134992,0.2,1,9364996
2018,5,105136332,1,3,9365145
2018,12,105139768,1,1,9363227
2018,2,105135878,2.1,1,9365086
2018,12,105139417,0.3,1,9363160
2018,5,105139417,4.2,1,9363158
2018,5,105139614,0.8,1,9363186
2018,5,105136409,1,3,9365169
2018,16,105139847,1,9,9363246
2018,16,105136548,1,11,9363254
2018,1,105137404,1,11,9363426
2018,5,105137627,1,3,9365485
2018,5,105137905,1,1,9365551
2018,5,105162709,9.7,1,9375662
2018,5,105165428,1,1,9375868
2018,1,105164460,0.6,1,9368126
2018,12,105163318,2.4,1,9368185
2018,5,105163427,0.3,1,9368195
2018,12,105164831,2.5,1,9375767
2018,5,105170470,0.005,3,9368564
2018,5,105165673,1,1,9368349
2018,5,105165771,1,1,9368378
2018,5,105165784,5,1,9368379
2018,13,105165917,1,11,9375957
2018,13,105165983,1,1,9368410
2018,1,105166104,1,11,9375986
2018,5,105170047,1,9,9368494
2018,5,105166717,96.4,1,9376102
2018,1,105166761,1,9,9368551
2018,12,105166961,2.83,1,9376157
2018,8,105166975,1,11,9368602
2018,5,105133416,0.1,1,9364924
2018,12,105134606,1,5,9364928
2018,12,105162099,1,11,9367959
2018,12,105138726,16.7,1,9363086
2018,5,105138726,0.001,1,9363087
2018,5,105162105,1,11,9375521
2018,5,105135945,0.2,9,9365092
2018,5,105135132,3,1,9365038
2018,5,105163632,3.2,1,9375532
2018,5,105139659,3.8,1,9365114
2018,5,105139738,2,3,9365139
2018,5,105136085,22.1,1,9365098
2018,12,105139605,1,9,9365105
2018,5,105136354,1,3,9365150
2018,5,105139808,1,3,9365171
2018,5,105136466,1,3,9365182
2018,5,105136476,1,3,9365187
2018,3,105162143,1,11,9367970
2018,5,105163786,1,11,9375562
2018,5,105163817,1,3,9375570
2018,1,105164353,0.001,3,9375692
2018,13,105163072,1,11,9368149
2018,12,105162631,1,1,9368074
2018,2,105165031,275.5,1,9368227
2018,5,105163444,1.5,1,9375766
2018,5,105137528,1,3,9365442
2018,15,105140718,10,9,9363480
2018,5,105137764,1,1,9363523
2018,12,105163524,226.6,1,9368204
2018,5,105165031,6.6,1,9368228
2018,12,105169461,319,1,9368385
2018,5,105137838,8.7,4,9363534
2018,5,105140924,8,1,9365536
2018,5,105141036,1,11,9365570
2018,13,105169621,0.05,3,9375965
