"DATA_YEAR","VICTIM_ID","INCIDENT_ID","VICTIM_SEQ_NUM","VICTIM_TYPE_ID","ASSIGNMENT_TYPE_ID","ACTIVITY_TYPE_ID","OUTSIDE_AGENCY_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_STATUS_CODE","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2018,111378564,101503655,1,4,,,,5,23,"M",1,1,"N",23,0
2018,111378568,101508792,1,4,,,,5,62,"F",1,3,"R",62,0
2018,111388465,101503665,1,4,,,,5,20,"M",1,1,"R",20,0
2018,111388471,101503670,1,4,,,,5,21,"F",0,3,"R",21,0
2018,111388481,101503682,1,4,,,,5,37,"M",1,3,"R",37,0
2018,111388483,101503682,2,4,,,,5,42,"M",1,3,"R",42,0
2018,111383238,101513620,1,8,,,,,,"",,,"",,
2018,111378607,101513633,1,8,,,,,,"",,,"",,
2018,109891041,100203461,1,4,,,,5,33,"F",1,2,"R",33,0
2018,109890931,100203378,1,4,,,,5,26,"M",1,2,"R",26,0
2018,109895291,100198667,1,8,,,,,,"",,,"",,
2018,109891048,100203466,1,1,,,,,,"",,,"",,
2018,109895517,100198873,1,4,,,,5,60,"M",1,2,"R",60,0
2018,109895710,100203771,1,4,,,,5,13,"M",1,1,"R",13,0
2018,109891441,100203771,2,4,,,,5,12,"M",1,2,"R",12,0
2018,109895718,100199030,2,4,,,,5,46,"M",1,2,"R",46,0
2018,109891412,100203749,1,1,,,,,,"",,,"",,
2018,109895704,100199022,1,4,,,,5,18,"M",2,2,"R",18,0
2018,109895717,100199030,1,4,,,,5,67,"M",1,2,"R",67,0
2018,109895732,100199042,1,1,,,,,,"",,,"",,
2018,109895745,100199048,1,4,,,,5,26,"M",2,2,"R",26,0
2018,109895762,100203803,1,8,,,,,,"",,,"",,
2018,109891497,100203831,1,4,,,,5,22,"F",1,1,"R",22,0
2018,109895811,100203845,1,1,,,,,,"",,,"",,
2018,109891602,100203917,1,1,,,,,,"",,,"",,
2018,109895891,100199176,2,1,,,,,,"",,,"",,
2018,109891566,100203884,1,8,,,,,,"",,,"",,
2018,109895911,100199197,1,4,,,,5,29,"F",1,2,"R",29,0
2018,109891606,100199176,1,8,,,,,,"",,,"",,
2018,109891624,100199191,9,1,,,,,,"",,,"",,
2018,109895969,100199254,1,8,,,,,,"",,,"",,
2018,109895985,100203972,1,4,,,,5,61,"M",1,2,"N",61,0
2018,109891668,100199277,1,4,,,,5,42,"F",1,2,"R",42,0
2018,109896019,100199294,1,4,,,,5,17,"F",1,2,"R",17,0
2018,109896033,100199310,1,8,,,,,,"",,,"",,
2018,109896040,100199317,1,4,,,,5,41,"M",1,2,"R",41,0
2018,109896067,100199340,1,4,,,,5,29,"F",1,1,"N",29,0
2018,109896072,100199344,1,8,,,,,,"",,,"",,
2018,109896084,100199356,1,4,,,,5,76,"F",1,2,"R",76,0
2018,109896097,100199369,1,8,,,,,,"",,,"",,
2018,109891716,100204015,1,4,,,,5,39,"F",1,2,"R",39,0
2018,109896132,100199395,1,1,,,,,,"",,,"",,
2018,109891727,100204030,1,4,,,,5,88,"M",1,2,"R",88,0
2018,109896173,100199429,1,4,,,,5,48,"M",1,2,"N",48,0
2018,109896187,100199442,1,1,,,,,,"",,,"",,
2018,109896203,100199455,1,1,,,,,,"",,,"",,
2018,109896221,100199473,1,1,,,,,,"",,,"",,
2018,109896228,100199481,1,1,,,,,,"",,,"",,
2018,109891746,100204047,1,4,,,,5,32,"M",1,2,"N",32,0
2018,109896235,100199488,1,1,,,,,,"",,,"",,
2018,109896291,100204104,1,4,,,,5,54,"M",1,2,"N",54,0
2018,109891837,100204122,1,1,,,,,,"",,,"",,
2018,109896356,100199591,1,1,,,,,,"",,,"",,
2018,109891967,100199698,1,4,,,,5,31,"F",1,2,"R",31,0
2018,109896364,100199598,1,1,,,,,,"",,,"",,
2018,109896453,100199665,1,4,,,,5,53,"M",1,1,"R",53,0
2018,109905892,100208512,1,4,,,,5,19,"F",1,2,"R",19,0
2018,109905900,100208516,1,1,,,,,,"",,,"",,
2018,109902042,100208538,1,1,,,,,,"",,,"",,
