"DATA_YEAR","WEAPON_ID","OFFENSE_ID","NIBRS_WEAPON_ID"
2018,12,125142869,22625831
2018,12,125143020,22625853
2018,9,125143036,22625857
2018,12,125138335,22620851
2018,19,136632319,25448124
2018,2,136624668,25458415
2018,12,136632494,25458426
2018,20,136632499,25448158
2018,20,136628472,25453367
2018,12,136628516,25458441
2018,12,136628556,25448194
2018,9,136628754,25458488
2018,19,136628889,25448253
2018,5,136625112,25453440
2018,20,136633157,25453471
2018,20,125697285,22755886
2018,12,125689734,22759986
2018,12,125697481,22759997
2018,12,125690035,22760030
2018,12,125694852,22751364
2018,12,125697664,22755949
2018,12,125690169,22751377
2018,12,125697703,22760060
2018,5,125694940,22755960
2018,12,125695582,22756092
2018,18,125701278,22760261
2018,19,125701401,22751507
2018,20,125698716,22760300
2018,12,131246602,24082836
2018,12,131235784,24080996
2018,12,131246808,24076546
2018,12,131235947,24081025
2018,12,131235951,24081028
2018,12,131246837,24076555
2018,12,131246845,24076559
2018,20,131247036,24076606
2018,12,131247105,24081076
2018,12,131247119,24082918
2018,3,131242643,24076627
2018,3,131247124,24082919
2018,12,131247145,24076633
2018,20,131247383,24076700
2018,20,131242915,24082979
2018,20,131251366,24081137
2018,12,131247401,24076711
2018,20,131247415,24076714
2018,20,131247418,24076715
2018,12,131251376,24081140
2018,12,131242959,24081142
2018,20,131242970,24082990
2018,20,131251396,24076720
2018,12,131243005,24083002
2018,20,125695782,22751518
2018,20,125695790,22751521
2018,12,125701615,22760336
2018,20,125695857,22756132
2018,20,125701718,22760358
2018,12,125701784,22760370
2018,18,126779827,23011998
2018,20,126779836,22999779
2018,12,126775438,23007191
2018,20,126775511,23012030
2018,20,126775524,23007209
2018,12,126775585,23007225
2018,20,126775631,23007240
2018,20,126769818,23007243
2018,20,126769845,22999838
2018,12,126775711,23012083
2018,12,126775720,23007264
2018,3,126775914,23007301
2018,3,126773172,23006590
2018,3,126773173,23006765
2018,12,126773188,22999385
2018,9,126773191,23006594
2018,12,126777484,23006606
2018,9,126777539,23006614
2018,20,126773301,23006786
2018,20,126773351,22999421
2018,12,126773387,23006805
2018,12,126773455,23006646
2018,12,126773603,23006842
2018,20,126777962,23006670
2018,12,126773657,23006857
2018,3,126767950,22999473
2018,9,126773690,23006864
2018,20,126773693,23006686
2018,12,126768015,23006870
2018,12,126768051,23006706
2018,2,126778209,23006892
2018,9,126773875,22999498
2018,12,126768088,22999497
2018,12,126768193,22999517
2018,12,126774055,23006936
2018,20,126779161,22999662
2018,9,126774680,22999664
2018,12,126775029,23007124
2018,12,126775131,23007141
2018,12,126775155,23011962
2018,12,126775380,23012003
2018,20,126779971,23012010
2018,12,126769677,22999789
2018,12,126769750,23012034
2018,12,126780157,22999814
2018,20,126780203,23012062
2018,20,126769814,22999827
2018,20,126775687,23007253
2018,12,126780286,23012085
2018,20,126775794,23007279
2018,12,126780404,23012112
2018,12,126780455,23012125
2018,12,126780481,23012130
2018,12,126780509,23012140
2018,20,126775928,23012146
2018,9,126780543,23007305
2018,12,126767438,23006584
2018,12,126777400,23006591
2018,9,126767470,22999386
2018,18,126773195,23006768
2018,12,126767483,22999388
2018,12,126777428,23006598
2018,3,126767492,23006774
2018,12,126767502,22999392
2018,9,126777446,23006600
2018,20,126767504,22999393
2018,12,126777465,23006603
2018,12,126777480,23006604
2018,12,126773241,23006605
2018,12,126777500,23006609
2018,20,126773277,23006613
2018,20,126777540,22999401
2018,12,126767586,23006623
2018,12,126777568,23006622
2018,20,126767595,22999408
2018,20,126767611,23006790
2018,12,126773325,23006793
2018,20,126777615,22999417
2018,20,126773345,23006798
2018,20,126767632,22999419
2018,12,126767634,22999420
2018,12,126777648,23006801
2018,20,126777649,22999422
2018,12,126777696,23006634
2018,12,126777703,22999426
2018,12,126777708,23006636
2018,22,126767684,22999427
2018,12,126773389,23006806
2018,12,126773388,22999428
2018,12,126777718,22999430
2018,12,126773403,23006808
2018,12,126777722,23006640
2018,12,126767702,22999434
2018,12,126777741,23006643
2018,12,126773434,22999438
2018,12,126767732,23006812
2018,12,126777769,23006645
2018,12,126777768,23006813
2018,12,126767771,22999447
2018,12,126777810,23006649
2018,12,126767784,22999448
2018,12,126767785,22999449
2018,20,126777876,23006657
2018,20,126773566,23006829
2018,3,126773561,23006827
2018,12,126777905,23006660
2018,12,126777906,23006834
2018,10,126777909,22999457
2018,12,126777909,22999458
2018,9,126767859,22999459
2018,20,126767868,23006839
2018,20,126767881,22999462
2018,19,126777940,23006844
2018,9,126773610,23006845
2018,20,126767900,23006669
2018,20,126773636,22999465
2018,12,126773640,23006852
2018,12,126778007,23006678
2018,20,126778019,22999475
2018,20,126778036,23006683
2018,12,126778039,23006685
2018,20,126773694,23006865
2018,18,126778062,23006688
2018,12,126767994,22999482
2018,3,126767996,22999483
2018,20,126773733,23006869
2018,12,126773758,23006872
2018,18,126778116,23006700
2018,12,126773763,23006701
2018,12,126773769,22999485
2018,12,126768027,23006702
2018,12,126778147,23006704
2018,12,126773786,23006880
2018,12,126778163,23006884
2018,12,126773801,23006885
2018,12,126773826,23006888
2018,12,126778199,23006711
2018,12,126773850,23006895
2018,9,126768087,23006899
2018,12,126773873,23006901
2018,18,126778236,23006720
2018,12,126773890,22999502
2018,12,126773892,23006903
2018,9,126773902,23006725
2018,12,126778279,23006727
2018,12,126778288,23006907
2018,12,126773910,23006729
2018,12,126778293,23006731
2018,17,126773910,23006730
2018,18,126773919,23006910
2018,12,126773921,23006732
2018,12,126773922,22999507
2018,12,126768148,23006916
2018,12,126778334,23006923
2018,12,126768177,23006738
2018,12,126778357,22999515
