"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2018,7928831,10703,1,2018,"I",03-JAN-01,"Y","F","C","2018_01_NB0640000_NIBRS",25642522,0
2018,7952723,10703,2,2018,"I",03-FEB-02,"Y","F","C","2018_02_NB0640000_NIBRS",25647221,0
2018,7976542,10703,3,2018,"I",03-MAR-03,"Y","F","C","2018_03_NB0640000_NIBRS",25652716,0
2018,8001405,10703,4,2018,"I",03-APR-04,"Y","F","C","2018_04_NB0640000_NIBRS",25689004,0
2018,8001409,10703,5,2018,"I",03-MAY-05,"Y","F","C","2018_05_NB0640000_NIBRS",25694427,0
2018,8258233,10703,6,2018,"I",03-JUN-06,"Y","F","C","2018_06_NB0640000_NIBRS",25694431,0
2018,8123036,10703,7,2018,"I",03-JUL-07,"Y","F","C","2018_07_NB0640000_NIBRS",28240275,0
2018,8357636,10703,8,2018,"I",29-OCT-18,"Y","F","C","2018_08_NB0640000_NIBRS",28253446,0
2018,8357637,10703,9,2018,"I",29-OCT-18,"Y","F","C","2018_09_NB0640000_NIBRS",28248262,0
2018,8442782,10703,10,2018,"I",23-JAN-19,"Y","F","C","2018_10_NB0640000_NIBRS",31046895,0
2018,8436424,10703,11,2018,"I",23-JAN-19,"Y","F","C","2018_11_NB0640000_NIBRS",31046898,0
2018,8442783,10703,12,2018,"I",23-JAN-19,"Y","F","C","2018_12_NB0640000_NIBRS",31035741,0
2018,7952715,10664,1,2018,"I",03-JAN-01,"Y","F","C","2018_01_NB0480000_NIBRS",49379596,0
2018,7952716,10664,2,2018,"I",03-FEB-02,"Y","F","C","2018_02_NB0480000_NIBRS",47613524,0
2018,8125027,10664,3,2018,"I",03-MAR-03,"Y","F","C","2018_03_NB0480000_NIBRS",63976267,0
2018,8125028,10664,4,2018,"I",03-APR-04,"Y","F","C","2018_04_NB0480000_NIBRS",42721652,0
2018,8123032,10664,5,2018,"I",03-MAY-05,"Y","F","C","2018_05_NB0480000_NIBRS",61793180,0
2018,8125029,10664,6,2018,"I",03-JUN-06,"Y","F","C","2018_06_NB0480000_NIBRS",61793181,0
2018,8123208,10664,7,2018,"I",,"Y","G","C","2018_07_NB0480000_NIBRS",49388598,0
2018,8358614,10664,8,2018,"I",29-OCT-18,"Y","F","C","2018_08_NB0480000_NIBRS",49388601,0
2018,8357633,10664,9,2018,"I",29-OCT-18,"Y","F","C","2018_09_NB0480000_NIBRS",49379579,0
2018,8436408,10664,10,2018,"I",23-JAN-19,"Y","F","C","2018_10_NB0480000_NIBRS",49384472,0
2018,8442773,10664,11,2018,"I",23-JAN-19,"Y","F","C","2018_11_NB0480000_NIBRS",63983451,0
2018,8442774,10664,12,2018,"I",23-JAN-19,"Y","F","C","2018_12_NB0480000_NIBRS",61803028,0
2018,7928646,10575,1,2018,"I",03-JAN-01,"Y","F","C","2018_01_NB0130100_NIBRS",25621666,0
2018,7928647,10575,2,2018,"I",03-FEB-02,"Y","F","C","2018_02_NB0130100_NIBRS",49356405,0
2018,7975976,10575,3,2018,"I",03-MAR-03,"Y","F","C","2018_03_NB0130100_NIBRS",49382309,0
2018,7975977,10575,4,2018,"I",03-APR-04,"Y","F","C","2018_04_NB0130100_NIBRS",25699015,0
2018,7999763,10575,5,2018,"I",03-MAY-05,"Y","F","C","2018_05_NB0130100_NIBRS",25699019,0
2018,7999765,10575,6,2018,"I",03-JUN-06,"Y","F","C","2018_06_NB0130100_NIBRS",49382313,0
2018,8258244,10575,7,2018,"I",03-JUL-07,"Y","F","C","2018_07_NB0130100_NIBRS",34914823,0
2018,8357610,10575,8,2018,"I",29-OCT-18,"Y","F","C","2018_08_NB0130100_NIBRS",34923197,0
2018,8357611,10575,9,2018,"I",29-OCT-18,"Y","F","C","2018_09_NB0130100_NIBRS",38683065,0
2018,8382196,10575,10,2018,"I",21-DEC-18,"Y","F","C","2018_10_NB0130100_NIBRS",34914831,0
2018,8438392,10575,11,2018,"I",23-JAN-19,"Y","F","C","2018_11_NB0130100_NIBRS",31039848,0
2018,8442744,10575,12,2018,"I",23-JAN-19,"Y","F","C","2018_12_NB0130100_NIBRS",47603762,0
2018,7928814,10714,1,2018,"I",03-JAN-01,"Y","F","C","2018_01_NB0690100_NIBRS",25635807,0
2018,7952714,10714,2,2018,"I",03-FEB-02,"Y","F","C","2018_02_NB0690100_NIBRS",25653644,0
2018,7953428,10714,3,2018,"I",,"Y","G","C","2018_03_NB0690100_NIBRS",61800164,0
2018,8001390,10714,4,2018,"I",03-APR-04,"Y","F","C","2018_04_NB0690100_NIBRS",25690355,0
2018,8001391,10714,5,2018,"I",03-MAY-05,"Y","F","C","2018_05_NB0690100_NIBRS",28253484,0
2018,8125046,10714,6,2018,"I",03-JUN-06,"Y","F","C","2018_06_NB0690100_NIBRS",25706289,0
