"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
105432018,10543,2018,"NB0010000","NB0010000","","N","N",,"I","ADAMS","ADAMS CO SO HASTINGS","Adams","","A",31,"Nebraska","NB","NE","4","West North Central","2","Midwest","Region II","County",6692,23378,"NBUCR0001","Nebraska Crime Commission","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",16,11,27,0,5,5,0,0,01-JAN-98,01-JAN-02,01-JAN-02,01-DEC-18,01-MAY-19,01-DEC-18,"N","ADAMS","Non-MSA","Y","Y","Y"
105442018,10544,2018,"NB0010100","NB0010100","","N","N",,"I","HASTINGS","HASTINGS PD","Hastings","","A",31,"Nebraska","NB","NE","4","West North Central","2","Midwest","Region II","City",24963,23378,"NBUCR0001","Nebraska Crime Commission","N",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",34,1,35,4,12,16,0,0,01-JAN-98,01-JUL-02,01-JUL-02,01-APR-19,01-APR-19,01-APR-19,"N","ADAMS","Non-MSA","Y","Y","Y"
105512018,10551,2018,"NB0060000","NB0060000","","N","N",,"I","BOONE","BOONE CO SO ALBION","Boone","","A",31,"Nebraska","NB","NE","4","West North Central","2","Midwest","Region II","County",3712,23378,"NBUCR0001","Nebraska Crime Commission","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",5,2,7,0,5,5,0,0,01-JAN-98,01-MAR-03,01-MAR-03,01-JUL-19,01-JUL-19,01-JUL-19,"N","BOONE","Non-MSA","Y","Y","Y"
105572018,10557,2018,"NB0070100","NB0070100","","N","N",,"I","ALLIANCE","ALLIANCE PD","Alliance","","A",31,"Nebraska","NB","NE","4","West North Central","2","Midwest","Region II","City",8122,23378,"NBUCR0001","Nebraska Crime Commission","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",15,0,15,3,7,10,0,0,01-JAN-98,01-JAN-13,01-JAN-13,01-MAY-19,01-MAY-19,01-MAY-19,"N","BOX BUTTE","Non-MSA","Y","Y","Y"
105622018,10562,2018,"NB0100000","NB0100000","","N","N",,"I","BUFFALO","BUFFALO CO SO KEARNEY","Buffalo","","A",31,"Nebraska","NB","NE","4","West North Central","2","Midwest","Region II","County",15883,23378,"NBUCR0001","Nebraska Crime Commission","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","Y",27,15,42,2,2,4,0,0,01-JAN-98,01-JAN-98,01-JAN-98,01-MAY-19,01-MAY-19,01-MAY-19,"N","BUFFALO","Non-MSA","Y","Y","Y"
105632018,10563,2018,"NB0100100","NB0100100","","N","N",,"I","KEARNEY","KEARNEY PD","Kearney","","A",31,"Nebraska","NB","NE","4","West North Central","2","Midwest","Region II","City",34261,23378,"NBUCR0001","Nebraska Crime Commission","N",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",51,5,56,3,9,12,0,0,01-JAN-98,01-JAN-98,01-JAN-98,01-APR-19,01-APR-19,01-APR-19,"N","BUFFALO","Non-MSA","Y","Y","Y"
105722018,10572,2018,"NB0120000","NB0120000","","N","N",,"I","BUTLER","BUTLER CO SO DAVID CITY","Butler","","A",31,"Nebraska","NB","NE","4","West North Central","2","Midwest","Region II","County",7989,23378,"NBUCR0001","Nebraska Crime Commission","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",9,0,9,1,1,2,0,0,01-JAN-98,01-JUL-12,01-JUL-12,01-OCT-19,01-OCT-19,01-OCT-19,"N","BUTLER","Non-MSA","Y","Y","Y"
105742018,10574,2018,"NB0130000","NB0130000","","N","N",,"I","CASS","CASS CO SO PLATTSMOUTH","Cass","","A",31,"Nebraska","NB","NE","4","West North Central","2","Midwest","Region II","County",19478,23378,"NBUCR0001","Nebraska Crime Commission","Y",21,"9C","MSA counties from 10,000 thru 24,999","9","MSA Counties","N",3,"R","Y",35,17,52,6,16,22,0,0,01-JAN-98,01-MAY-04,01-MAY-04,01-APR-19,01-APR-19,01-APR-19,"N","CASS","Omaha-Council Bluffs, NE-IA","Y","Y","Y"
105752018,10575,2018,"NB0130100","NB0130100","","N","N",,"I","PLATTSMOUTH","PLATTSMOUTH PD","Plattsmouth","","A",31,"Nebraska","NB","NE","4","West North Central","2","Midwest","Region II","City",6444,23378,"NBUCR0001","Nebraska Crime Commission","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",13,0,13,1,3,4,0,0,01-JAN-98,01-JAN-98,01-JAN-98,01-MAY-19,01-MAY-19,01-MAY-19,"N","CASS","Omaha-Council Bluffs, NE-IA","Y","Y","Y"
105842018,10584,2018,"NB0150100","NB0150100","","N","N",,"I","IMPERIAL","IMPERIAL PD","Imperial","","A",31,"Nebraska","NB","NE","4","West North Central","2","Midwest","Region II","City",2061,23378,"NBUCR0001","Nebraska Crime Commission","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",4,0,4,0,0,0,0,0,01-JAN-98,01-NOV-17,01-NOV-17,01-MAY-19,01-MAY-19,01-MAY-19,"N","CHASE","Non-MSA","Y","Y","Y"
